t;Eigengeschwindigkeit(m/s);Bbox_Breite;Bbox_Höhe;Bbox_links_unten_y;Abstand(m)
0;22;244;304;51;25,5
0,1;22,1;240;300;53;26,5
0,2;22,1;245;306;51;25,5
0,3;22,1;240;299;53;26,5
0,4;22,1;236;294;53;26,5
0,5;22,1;244;305;52;26
0,6;22,1;238;297;54;27
0,7;22,1;236;294;55;27,5
0,8;22,1;242;302;53;26,5
0,9;22,2;240;300;53;26,5
1;22,2;242;302;53;26,5
1,1;22,1;240;300;53;26,5
1,2;22,1;236;294;54;27
1,3;22;239;298;53;26,5
1,4;22,1;236;295;53;26,5
1,5;22,1;241;301;54;27
1,6;22,2;240;300;53;26,5
1,7;22,2;236;295;54;27
1,8;22,1;234;292;55;27,5
1,9;22,1;233;291;56;28
2;22,2;237;296;53;26,5
2,1;22,1;239;298;54;27
2,2;22;233;291;56;28
2,3;22,1;236;294;56;28
2,4;22,1;239;298;56;28
2,5;22,1;239;298;55;27,5
2,6;22;240;299;54;27
2,7;22;232;290;57;28,5
2,8;22,1;237;296;55;27,5
2,9;22;231;288;58;29
3;22,1;231;288;58;29
3,1;22,1;228;285;58;29
3,2;22,2;259;287;57;28,5
3,3;22,1;233;291;57;28,5
3,4;22,1;230;287;58;29
3,5;22;234;292;58;29
3,6;22,1;225;281;61;30,5
3,7;22,1;231;288;60;30
3,8;22,1;228;285;62;31
3,9;22,2;225;281;60;30
4;22,1;221;276;63;31,5
4,1;22,1;224;280;64;32
4,2;22,2;224;279;63;31,5
4,3;22,2;228;284;63;31,5
4,4;22;218;272;66;33
4,5;22,1;219;273;66;33
4,6;22;261;271;65;32,5
4,7;22,1;216;270;67;33,5
4,8;22;220;274;67;33,5
4,9;22,2;212;265;68;34
5;22;212;264;70;35
5,1;22,1;211;263;71;35,5
5,2;22,1;210;262;72;36
5,3;22,1;209;261;73;36,5
5,4;22,1;204;254;74;37
5,5;22,2;208;260;73;36,5
5,6;22,1;209;261;73;36,5
5,7;22,1;204;255;75;37,5
5,8;22,1;205;256;77;38,5
5,9;22,1;203;253;78;39
6;22,2;203;253;78;39
6,1;22,1;198;247;79;39,5
6,2;22;198;247;81;40,5
6,3;22,2;197;246;82;41
6,4;22,2;193;241;82;41
6,5;22,2;192;240;84;42
6,6;22,1;186;232;86;43
6,7;22;188;234;85;42,5
6,8;22;188;235;87;43,5
6,9;22;180;224;89;44,5
7;22;178;222;90;45
7,1;22,1;175;218;92;46
7,2;22,1;175;218;92;46
7,3;22,1;177;221;94;47
7,4;22,2;176;220;93;46,5
7,5;22;168;209;97;48,5
7,6;22;174;217;96;48
7,7;22,1;171;213;98;49
7,8;22,1;168;209;100;50
7,9;22,2;162;202;101;50,5
8;22,2;164;205;102;51
8,1;22;159;198;102;51
8,2;22;154;192;105;52,5
8,3;22,1;160;199;104;52
8,4;22,1;194;189;108;54
8,5;22;155;193;107;53,5
8,6;22,1;149;186;110;55
8,7;22;153;191;109;54,5
8,8;22,1;144;179;111;55,5
8,9;22,2;146;182;113;56,5
9;22,2;145;181;112;56
9,1;22;136;170;115;57,5
9,2;22;140;174;115;57,5
9,3;22,2;133;166;118;59
9,4;22,1;137;171;117;58,5
9,5;22,2;132;164;120;60
9,6;22,1;133;166;122;61
9,7;22,2;128;160;123;61,5
9,8;22,2;126;157;122;61
9,9;22,2;127;158;125;62,5
10;22;124;155;126;63
10,1;22,1;119;148;126;63
10,2;22,2;124;155;126;63
10,3;22,1;119;148;128;64
