t;Eigengeschwindigkeit(m/s);Bbox_Breite;Bbox_Höhe;Bbox_links_unten_y;Abstand(m)
0;16,1;61;121;142;71
0,1;16,1;64;128;141;70,5
0,2;16;64;127;138;69
0,3;16,1;66;131;138;69
0,4;16;67;134;137;68,5
0,5;16,2;67;133;135;67,5
0,6;16,1;71;141;133;66,5
0,7;16;69;137;132;66
0,8;16,1;72;143;131;65,5
0,9;16;74;148;130;65
1;16,2;71;141;130;65
1,1;16;74;147;127;63,5
1,2;16,2;76;151;125;62,5
1,3;16,1;80;159;124;62
1,4;16;81;161;123;61,5
1,5;16,1;80;160;123;61,5
1,6;16;84;167;121;60,5
1,7;16,2;81;162;119;59,5
1,8;16,1;83;166;118;59
1,9;16,1;87;173;115;57,5
2;16;88;175;115;57,5
2,1;16,1;132;178;112;56
2,2;16,2;92;183;111;55,5
2,3;16,1;94;188;109;54,5
2,4;16;93;185;108;54
2,5;16;97;194;106;53
2,6;16;94;188;107;53,5
2,7;16;99;198;105;52,5
2,8;16;100;199;102;51
2,9;16,1;98;196;103;51,5
3;16,1;101;201;102;51
3,1;16,2;130;205;99;49,5
3,2;16;108;216;97;48,5
3,3;16,1;148;214;97;48,5
3,4;16;111;222;94;47
3,5;16,1;107;213;94;47
3,6;16,1;113;225;92;46
3,7;16,1;111;222;91;45,5
3,8;16,1;143;228;88;44
3,9;16;115;230;88;44
4;16,2;119;238;86;43
4,1;16;116;231;86;43
4,2;16,1;117;234;84;42
4,3;16,2;119;237;83;41,5
4,4;16,2;118;236;82;41
4,5;16,2;120;240;81;40,5
4,6;16,1;126;251;79;39,5
4,7;16;151;249;79;39,5
4,8;16,2;123;246;78;39
4,9;16,1;159;249;77;38,5
5;16,1;125;250;75;37,5
5,1;16,2;127;253;74;37
5,2;16,1;131;261;71;35,5
5,3;16,1;132;264;71;35,5
5,4;16,1;135;269;70;35
5,5;16,2;165;268;69;34,5
5,6;16,1;137;273;67;33,5
5,7;16,1;137;274;68;34
5,8;16,1;136;271;65;32,5
5,9;16;138;275;65;32,5
6;16,2;139;277;63;31,5
6,1;16,1;140;280;63;31,5
6,2;16,1;139;277;62;31
6,3;16,1;140;279;61;30,5
6,4;16,2;145;290;58;29
6,5;16;145;290;57;28,5
6,6;16,1;143;286;58;29
6,7;16,1;146;292;55;27,5
6,8;16,2;148;295;56;28
6,9;16,1;145;290;55;27,5
7;16,1;150;300;54;27
7,1;16,1;150;299;51;25,5
7,2;16,2;155;310;50;25
7,3;16,1;152;304;52;26
7,4;16;156;311;49;24,5
7,5;16,1;157;314;47;23,5
7,6;16,2;151;302;49;24,5
7,7;16,1;158;316;46;23
7,8;16;156;312;46;23
7,9;16;159;317;44;22
8;16,2;161;321;43;21,5
8,1;16,1;158;315;43;21,5
8,2;16,2;165;330;40;20
8,3;16;161;321;41;20,5
8,4;16,1;163;326;39;19,5
8,5;16,1;166;331;39;19,5
8,6;16,1;165;329;36;18
8,7;16,1;167;333;35;17,5
8,8;16;169;338;35;17,5
8,9;16,1;207;338;32;16
9;16,2;169;338;33;16,5
9,1;16,1;204;342;32;16
9,2;16,2;174;347;29;14,5
9,3;16,1;171;342;29;14,5
9,4;16,1;174;348;28;14
9,5;16,1;179;357;26;13
9,6;16,1;177;354;24;12
9,7;16;177;353;24;12
9,8;16,1;177;353;24;12
9,9;16,1;181;362;22;11
10;16,2;183;366;20;10
10,1;16,1;183;365;18;9
10,2;16,1;230;374;18;9
10,3;16,2;185;369;17;8,5
