;t;Eigengeschwindigkeit(m/s);Bbox_Breite;Bbox_Höhe;Bbox_links_unten_y;Abstand(m);v(km/h);width;height;a(km/h^2)
0;0.0;22.0;115;209;100;50.0;72.75421292953723;1.075;1.545;-0.1186881410341637
1;0.1;22.1;111;201;101;50.5;72.71192068311667;1.06;1.51;-0.1162687835245366
2;0.2;22.0;114;207;100;50.0;72.67049940539957;1.07;1.535;-0.1138494260149095
3;0.3;22.1;114;206;100;50.0;72.62994909638593;1.07;1.53;-0.11143006850528238
4;0.4;22.2;113;204;99;49.5;72.59026975607577;1.06;1.515;-0.10901071099565528
5;0.5;22.1;113;204;100;50.0;72.55146138446906;1.065;1.52;-0.10659135348602816
6;0.6;22.1;115;209;100;50.0;72.51352398156583;1.075;1.545;-0.10417199597640106
7;0.7;22.2;114;206;99;49.5;72.47645754736605;1.065;1.525;-0.10175263846677396
8;0.8;22.2;118;213;97;48.5;72.44026208186975;1.075;1.55;-0.09933328095714684
9;0.9;22.0;117;212;98;49.0;72.40493758507691;1.075;1.55;-0.09691392344751973
10;1.0;22.2;116;210;98;49.0;72.37048405698754;1.07;1.54;-0.09449456593789263
11;1.1;22.1;119;216;96;48.0;72.33690149760162;1.075;1.56;-0.09207520842826551
12;1.2;22.1;118;214;96;48.0;72.30418990691918;1.07;1.55;-0.0896558509186384
13;1.3;22.1;114;207;97;48.5;72.2723492849402;1.055;1.52;-0.0872364934090113
14;1.4;22.1;119;215;97;48.5;72.2413796316647;1.08;1.56;-0.08481713589938418
15;1.5;22.2;121;219;95;47.5;72.21128094709265;1.08;1.57;-0.08239777838975706
16;1.6;22.1;118;213;95;47.5;72.18205323122406;1.065;1.54;-0.07997842088012994
17;1.7;22.2;119;215;96;48.0;72.15369648405895;1.075;1.555;-0.07755906337050283
18;1.8;22.0;117;212;95;47.5;72.1262107055973;1.06;1.535;-0.0751397058608757
19;1.9;22.0;121;220;95;47.5;72.09959589583912;1.08;1.575;-0.0727203483512486
20;2.0;22.0;119;216;92;46.0;72.0738520547844;1.055;1.54;-0.07030099084162147
21;2.1;22.1;123;222;91;45.5;72.04897918243316;1.07;1.565;-0.06788163333199436
22;2.2;22.2;121;219;91;45.5;72.02497727878537;1.06;1.55;-0.06546227582236724
23;2.3;22.0;118;214;93;46.5;72.00184634384104;1.055;1.535;-0.06304291831274013
24;2.4;22.1;123;223;93;46.5;71.9795863776002;1.08;1.58;-0.06062356080311301
25;2.5;22.2;123;223;91;45.5;71.95819738006281;1.07;1.57;-0.058204203293485884
26;2.6;22.1;127;230;90;45.0;71.93767935122888;1.085;1.6;-0.055784845783858755
27;2.7;22.2;123;223;91;45.5;71.91803229109843;1.07;1.57;-0.05336548827423164
28;2.8;22.0;126;228;89;44.5;71.89925619967143;1.075;1.585;-0.050946130764604525
29;2.9;22.0;126;228;90;45.0;71.88135107694792;1.08;1.59;-0.048526773254977396
30;3.0;22.0;127;230;89;44.5;71.86431692292786;1.08;1.595;-0.046107415745350266
31;3.1;22.1;126;228;90;45.0;71.84815373761127;1.08;1.59;-0.04368805823572314
32;3.2;22.2;125;227;89;44.5;71.83286152099814;1.07;1.58;-0.04126870072609601
33;3.3;22.1;125;226;87;43.5;71.81844027308847;1.06;1.565;-0.03884934321646889
34;3.4;22.0;130;235;86;43.0;71.80488999388227;1.08;1.605;-0.036429985706841764
35;3.5;22.1;126;229;87;43.5;71.79221068337955;1.065;1.58;-0.034010628197214635
36;3.6;22.1;128;232;86;43.0;71.78040234158028;1.07;1.59;-0.031591270687587505
37;3.7;22.0;130;236;85;42.5;71.76946496848448;1.075;1.605;-0.029171913177960376
38;3.8;22.1;129;234;86;43.0;71.75939856409215;1.075;1.6;-0.02675255566833326
39;3.9;22.1;128;231;86;43.0;71.75020312840329;1.07;1.585;-0.024333198158706118
40;4.0;22.2;128;231;85;42.5;71.74187866141789;1.065;1.58;-0.02191384064907899
41;4.1;22.1;130;235;85;42.5;71.73442516313595;1.075;1.6;-0.01949448313945186
42;4.2;22.2;134;242;84;42.0;71.72784263355747;1.09;1.63;-0.017075125629824717
43;4.3;22.1;134;242;82;41.0;71.72213107268247;1.08;1.62;-0.014655768120197601
44;4.4;22.1;132;239;84;42.0;71.71729048051093;1.08;1.615;-0.012236410610570445
45;4.5;22.0;131;237;82;41.0;71.71332085704286;1.065;1.595;-0.00981705310094333
46;4.6;22.1;134;242;82;41.0;71.71022220227826;1.08;1.62;-0.0073976955913162
47;4.7;22.1;134;243;81;40.5;71.70799451621713;1.075;1.62;-0.004978338081689043
48;4.8;22.1;132;240;81;40.5;71.70663779885943;1.065;1.605;-0.002558980572061914
49;4.9;22.0;136;247;80;40.0;71.70615205020523;1.08;1.635;-0.00013962306243477107
50;5.0;22.1;131;237;82;41.0;71.70653727025449;1.065;1.595;0.002279734447192358
51;5.1;22.1;132;240;81;40.5;71.7077934590072;1.065;1.605;0.004699091956819487
52;5.2;22.2;135;244;80;40.0;71.70992061646339;1.075;1.62;0.007118449466446658
53;5.3;22.1;140;253;78;39.0;71.71291874262306;1.09;1.655;0.009537806976073787
54;5.4;22.2;137;248;78;39.0;71.71678783748618;1.075;1.63;0.011957164485700916
55;5.5;22.2;137;249;77;38.5;71.72152790105275;1.07;1.63;0.014376521995328073
56;5.6;22.0;137;249;77;38.5;71.7271389333228;1.07;1.63;0.016795879504955202
57;5.7;22.2;136;247;77;38.5;71.73362093429633;1.065;1.62;0.01921523701458236
58;5.8;22.0;137;248;78;39.0;71.7409739039733;1.075;1.63;0.02163459452420949
59;5.9;22.1;137;249;77;38.5;71.74919784235375;1.07;1.63;0.024053952033836645
60;6.0;22.2;139;251;75;37.5;71.75829274943767;1.07;1.63;0.026473309543463774
61;6.1;22.2;139;251;75;37.5;71.76825862522504;1.07;1.63;0.02889266705309093
62;6.2;22.0;141;256;75;37.5;71.7790954697159;1.08;1.655;0.03131202456271809
63;6.3;22.1;142;257;75;37.5;71.7908032829102;1.085;1.66;0.03373138207234522
64;6.4;22.0;143;260;73;36.5;71.80338206480798;1.08;1.665;0.036150739581972374
65;6.5;22.2;142;258;74;37.0;71.81683181540923;1.08;1.66;0.03857009709159953
66;6.6;22.1;140;254;75;37.5;71.83115253471394;1.075;1.645;0.04098945460122666
67;6.7;22.1;145;263;73;36.5;71.84634422272211;1.09;1.68;0.04340881211085382
68;6.8;22.0;145;262;73;36.5;71.86240687943375;1.09;1.675;0.045828169620480974
69;6.9;22.2;145;262;73;36.5;71.87934050484886;1.09;1.675;0.04824752713010813
70;7.0;22.1;143;260;73;36.5;71.89714509896743;1.08;1.665;0.05066688463973526
71;7.1;22.2;147;267;70;35.0;71.91582066178947;1.085;1.685;0.05308624214936242
72;7.2;22.0;146;264;71;35.5;71.93536719331496;1.085;1.675;0.055505599658989574
73;7.3;22.1;145;263;70;35.0;71.95578469354393;1.075;1.665;0.05792495716861673
74;7.4;22.1;146;265;70;35.0;71.97707316247637;1.08;1.675;0.06034431467824389
75;7.5;22.0;145;262;71;35.5;71.99923260011228;1.08;1.665;0.06276367218787104
76;7.6;22.1;144;261;70;35.0;72.02226300645164;1.07;1.655;0.0651830296974982
77;7.7;22.2;146;264;70;35.0;72.04616438149446;1.08;1.67;0.06760238720712536
78;7.8;22.1;147;266;68;34.0;72.07093672524077;1.075;1.67;0.07002174471675252
79;7.9;22.0;149;270;67;33.5;72.09658003769053;1.08;1.685;0.07244110222637967
80;8.0;22.0;146;264;69;34.5;72.12309431884375;1.075;1.665;0.07486045973600683
81;8.1;22.1;151;273;68;34.0;72.15047956870046;1.095;1.705;0.07727981724563399
82;8.2;22.2;150;272;66;33.0;72.17873578726062;1.08;1.69;0.07969917475526114
83;8.3;22.2;152;275;66;33.0;72.20786297452425;1.09;1.705;0.08211853226488833
84;8.4;22.2;150;272;65;32.5;72.23786113049134;1.075;1.685;0.08453788977451548
85;8.5;22.1;153;278;65;32.5;72.2687302551619;1.09;1.715;0.08695724728414264
86;8.6;22.0;152;275;66;33.0;72.30047034853592;1.09;1.705;0.0893766047937698
87;8.7;22.1;154;279;64;32.0;72.33308141061342;1.09;1.715;0.09179596230339696
88;8.8;22.1;155;281;64;32.0;72.36656344139436;1.095;1.725;0.09421531981302414
89;8.9;22.0;151;274;65;32.5;72.40091644087879;1.08;1.695;0.0966346773226513
90;9.0;22.1;184;275;64;32.0;72.43614040906668;1.24;1.695;0.09905403483227845
91;9.1;22.0;153;277;63;31.5;72.47223534595803;1.08;1.7;0.10147339234190561
92;9.2;22.0;156;282;63;31.5;72.50920125155285;1.095;1.725;0.10389274985153277
93;9.3;22.1;154;279;62;31.0;72.54703812585113;1.08;1.705;0.10631210736115998
94;9.4;22.1;154;280;62;31.0;72.58574596885288;1.08;1.71;0.10873146487078714
95;9.5;22.1;155;281;60;30.0;72.6253247805581;1.075;1.705;0.1111508223804143
