;t;Eigengeschwindigkeit(m/s);Bbox_Breite;Bbox_Höhe;Bbox_links_unten_y;Abstand(m);v(m/s);v(km/h);a(m/s^2)
0;0.0;22.0;304;226;87;43.5;22.1;79.56;0.0
1;0.1;22.1;276;227;87;43.5;22.1;79.56;0.0
2;0.2;22.1;279;230;87;43.5;22.1;79.56;0.0
3;0.3;22.0;287;236;86;43.0;17.0;61.2;-51.0
4;0.4;22.2;283;233;86;43.0;22.2;79.92;52.0
5;0.5;22.1;284;234;86;43.0;22.1;79.56;-1.0
6;0.6;22.0;287;236;87;43.5;27.0;97.2;49.0
7;0.7;22.1;283;233;86;43.0;17.1;61.56;-99.0
8;0.8;22.2;303;224;88;44.0;32.2;115.92;151.0
9;0.9;22.2;287;236;87;43.5;17.2;61.92;-150.0
10;1.0;22.1;278;229;87;43.5;22.1;79.56;49.0
11;1.1;22.1;277;228;87;43.5;22.1;79.56;0.0
12;1.2;22.1;273;225;88;44.0;27.1;97.56;50.0
13;1.3;22.0;277;228;88;44.0;22.0;79.2;-51.0
14;1.4;22.0;277;228;88;44.0;22.0;79.2;0.0
15;1.5;22.1;279;230;87;43.5;17.1;61.56;-49.0
16;1.6;22.2;281;231;89;44.5;32.2;115.92;151.0
17;1.7;22.0;278;229;90;45.0;27.0;97.2;-52.0
18;1.8;22.2;276;227;89;44.5;17.2;61.92;-98.0
19;1.9;22.1;278;229;89;44.5;22.1;79.56;49.0
20;2.0;22.1;287;236;87;43.5;12.1;43.56;-100.0
21;2.1;22.0;283;233;87;43.5;22.0;79.2;99.0
22;2.2;22.0;278;229;89;44.5;32.0;115.2;100.0
23;2.3;22.0;276;227;88;44.0;17.0;61.2;-150.0
24;2.4;22.1;273;225;88;44.0;22.1;79.56;51.0
25;2.5;22.2;276;227;90;45.0;32.2;115.92;101.0
26;2.6;22.1;271;223;90;45.0;22.1;79.56;-101.0
27;2.7;22.1;267;220;91;45.5;27.1;97.56;50.0
28;2.8;22.0;276;227;91;45.5;22.0;79.2;-51.0
29;2.9;22.2;269;221;91;45.5;22.2;79.92;2.0
30;3.0;22.1;273;225;90;45.0;17.1;61.56;-51.0
31;3.1;22.2;276;227;90;45.0;22.2;79.92;51.0
32;3.2;22.0;267;220;92;46.0;32.0;115.2;98.0
33;3.3;22.0;307;217;93;46.5;27.0;97.2;-50.0
34;3.4;22.2;262;216;93;46.5;22.2;79.92;-48.0
35;3.5;22.2;261;215;94;47.0;27.2;97.92;50.0
36;3.6;22.0;264;217;94;47.0;22.0;79.2;-52.0
37;3.7;22.0;267;220;93;46.5;17.0;61.2;-50.0
38;3.8;22.2;261;215;95;47.5;32.2;115.92;152.0
39;3.9;22.1;259;213;94;47.0;17.1;61.56;-151.0
40;4.0;22.1;258;212;96;48.0;32.1;115.56;150.0
41;4.1;22.0;254;209;98;49.0;32.0;115.2;-1.0
42;4.2;22.1;249;205;98;49.0;22.1;79.56;-99.0
43;4.3;22.2;253;208;97;48.5;17.2;61.92;-49.0
44;4.4;22.0;247;203;100;50.0;37.0;133.2;198.0
45;4.5;22.1;247;203;100;50.0;22.1;79.56;-149.0
46;4.6;22.0;247;203;101;50.5;27.0;97.2;49.0
47;4.7;22.2;253;208;101;50.5;22.2;79.92;-48.0
48;4.8;22.1;242;199;103;51.5;32.1;115.56;99.0
49;4.9;22.1;238;196;104;52.0;27.1;97.56;-50.0
50;5.0;22.0;239;197;105;52.5;27.0;97.2;-1.0
51;5.1;22.2;243;200;105;52.5;22.2;79.92;-48.0
52;5.2;22.1;232;191;106;53.0;27.1;97.56;49.0
53;5.3;22.1;232;191;106;53.0;22.1;79.56;-50.0
54;5.4;22.2;236;194;106;53.0;22.2;79.92;1.0
55;5.5;22.0;229;188;109;54.5;37.0;133.2;148.0
56;5.6;22.2;233;192;109;54.5;22.2;79.92;-148.0
57;5.7;22.0;232;191;108;54.0;17.0;61.2;-52.0
58;5.8;22.0;216;178;112;56.0;42.0;151.2;250.0
59;5.9;22.2;222;183;111;55.5;17.2;61.92;-248.0
60;6.0;22.1;216;178;112;56.0;27.1;97.56;99.0
61;6.1;22.1;220;181;113;56.5;27.1;97.56;0.0
62;6.2;22.1;215;177;114;57.0;27.1;97.56;0.0
63;6.3;22.0;205;169;116;58.0;32.0;115.2;49.0
64;6.4;22.2;209;172;118;59.0;32.2;115.92;2.0
65;6.5;22.2;208;171;118;59.0;22.2;79.92;-100.0
66;6.6;22.1;208;171;119;59.5;27.1;97.56;49.0
67;6.7;22.2;198;163;120;60.0;27.2;97.92;1.0
68;6.8;22.1;193;159;122;61.0;32.1;115.56;49.0
69;6.9;22.1;190;156;123;61.5;27.1;97.56;-50.0
70;7.0;22.1;190;156;125;62.5;32.1;115.56;50.0
71;7.1;22.2;185;152;126;63.0;27.2;97.92;-49.0
72;7.2;22.1;185;152;126;63.0;22.1;79.56;-51.0
73;7.3;22.1;178;146;127;63.5;27.1;97.56;50.0
74;7.4;22.0;179;147;128;64.0;27.0;97.2;-1.0
75;7.5;22.2;170;140;131;65.5;37.2;133.92;102.0
76;7.6;22.1;179;147;130;65.0;17.1;61.56;-201.0
77;7.7;22.2;170;140;132;66.0;32.2;115.92;151.0
78;7.8;22.0;168;138;134;67.0;32.0;115.2;-2.0
79;7.9;22.2;165;136;134;67.0;22.2;79.92;-98.0
80;8.0;22.0;167;137;136;68.0;32.0;115.2;98.0
81;8.1;22.1;157;129;137;68.5;27.1;97.56;-49.0
82;8.2;22.2;153;126;138;69.0;27.2;97.92;1.0
83;8.3;22.2;155;127;140;70.0;32.2;115.92;50.0
84;8.4;22.1;150;123;142;71.0;32.1;115.56;-1.0
85;8.5;22.1;151;124;141;70.5;17.1;61.56;-150.0
86;8.6;22.1;146;120;143;71.5;32.1;115.56;150.0
87;8.7;22.1;177;115;143;71.5;22.1;79.56;-100.0
88;8.8;22.1;134;110;146;73.0;37.1;133.56;150.0
89;8.9;22.1;135;111;146;73.0;22.1;79.56;-150.0
90;9.0;22.2;136;112;149;74.5;37.2;133.92;151.0
91;9.1;22.0;175;115;147;73.5;12.0;43.2;-252.0
92;9.2;22.0;134;110;150;75.0;37.0;133.2;250.0
93;9.3;22.1;128;105;151;75.5;27.1;97.56;-99.0
94;9.4;22.1;148;95;153;76.5;32.1;115.56;50.0
95;9.5;22.1;157;92;154;77.0;27.1;97.56;-50.0
96;9.6;22.2;115;94;156;78.0;32.2;115.92;51.0
97;9.7;22.1;107;88;157;78.5;27.1;97.56;-51.0
98;9.8;22.2;104;85;158;79.0;27.2;97.92;1.0
99;9.9;22.0;106;87;157;78.5;17.0;61.2;-102.0
100;10.0;22.1;104;85;159;79.5;32.1;115.56;151.0
101;10.1;22.0;126;77;162;81.0;37.0;133.2;49.0
102;10.2;22.1;101;83;161;80.5;17.1;61.56;-199.0
103;10.3;22.2;100;82;163;81.5;32.2;115.92;151.0
