;t;Eigengeschwindigkeit(m/s);Bbox_Breite;Bbox_Höhe;Bbox_links_unten_y;Abstand(m);v(m/s);v(km/h);width;height;v(km/h) polyfit;a(km/h^2)
0;0.0;22.0;298;307;47;23.5;27.0;97.2;1.725;1.77;89.24604189660015;-35.62563922409232
1;0.1;22.0;303;313;48;24.0;27.0;97.2;1.755;1.805;85.86856689047411;-31.956556183183725
2;0.2;22.1;299;308;47;23.5;17.05;61.38;1.73;1.775;82.84829019548513;-28.480689797433495
3;0.3;22.1;303;313;47;23.5;22.1;79.56;1.75;1.8;80.16618374688751;-25.192181655490522
4;0.4;22.1;302;312;46;23.0;17.1;61.56;1.74;1.79;77.80380123985516;-22.085254970313912
5;0.5;22.2;309;319;45;22.5;17.15;61.74;1.77;1.82;75.74326996705055;-19.15421457917299
6;0.6;22.1;306;316;46;23.0;27.15;97.74;1.76;1.81;73.96728265619373;-16.393446943647298
7;0.7;22.1;300;310;46;23.0;22.1;79.56;1.73;1.78;72.45908930763127;-13.797420149626596
8;0.8;22.1;309;319;44;22.0;12.1;43.56;1.765;1.815;71.20248903190526;-11.360683907310857
9;0.9;22.1;309;319;45;22.5;27.1;97.56;1.77;1.82;70.18182188732227;-9.07786955121027
10;1.0;22.2;308;318;44;22.0;17.15;61.74;1.76;1.81;69.38196071752236;-6.943690040145249
11;1.1;22.1;308;318;44;22.0;22.15;79.74;1.76;1.81;68.78830298904803;-4.952939957246411
12;1.2;22.1;337;312;44;22.0;22.1;79.56;1.905;1.78;68.38676262891319;-3.1004955099546123
13;1.3;22.2;304;314;45;22.5;27.15;97.74;1.745;1.795;68.16376186217218;-1.3813145300208802
14;1.4;22.2;310;320;44;22.0;17.2;61.92;1.77;1.82;68.10622304948872;0.20956352649347565
15;1.5;22.2;313;323;42;21.0;12.2;43.92;1.775;1.825;68.20156052470486;1.6770175792169937
16;1.6;22.1;316;326;41;20.5;17.15;61.74;1.785;1.835;68.43767243241004;3.0258449234679503
17;1.7;22.2;314;324;41;20.5;22.15;79.74;1.775;1.825;68.80293256550998;4.260761230254417
18;1.8;22.1;314;324;39;19.5;12.15;43.74;1.765;1.815;69.28618220279571;5.386400546274281
19;1.9;22.1;311;321;41;20.5;32.1;115.56;1.76;1.81;69.87672194651255;6.407315293915147
20;2.0;22.1;316;326;38;19.0;7.1;25.56;1.77;1.82;70.56430355992904;7.327976271254478
21;2.1;22.1;312;322;40;20.0;32.1;115.56;1.76;1.81;71.33912180490597;8.152772652059454
22;2.2;22.1;321;331;37;18.5;7.1;25.56;1.79;1.84;72.19180627946535;8.886011985787093
23;2.3;22.2;324;334;37;18.5;22.15;79.74;1.805;1.855;73.11341325535939;9.53192019758415
24;2.4;22.1;324;334;37;18.5;22.15;79.74;1.805;1.855;74.09541751563941;10.094641588287189
25;2.5;22.1;324;334;37;18.5;22.1;79.56;1.805;1.855;75.12970419222492;10.578238834422578
26;2.6;22.2;321;331;36;18.0;17.15;61.74;1.785;1.835;76.20856060347255;10.986692988206407
27;2.7;22.1;320;330;36;18.0;22.15;79.74;1.78;1.83;77.32466809174502;11.323903477544611
28;2.8;22.2;325;335;37;18.5;27.15;97.74;1.81;1.86;78.47109386098015;11.593688106032886
29;2.9;22.1;327;337;35;17.5;12.15;43.74;1.81;1.86;79.6412828142598;11.799783052956705
30;3.0;22.1;324;334;37;18.5;32.1;115.56;1.805;1.855;80.82904939137885;11.945842873291305
31;3.1;22.1;321;331;37;18.5;22.1;79.56;1.79;1.84;82.02856940641426;12.035440497701764
32;3.2;22.0;321;331;36;18.0;17.05;61.38;1.785;1.835;83.23437188529392;12.072067232542892
33;3.3;22.1;323;333;36;18.0;22.05;79.38;1.795;1.845;84.4413309033657;12.05913275985931
34;3.4;22.1;326;336;36;18.0;22.1;79.56;1.81;1.86;85.64465742296643;11.99996513738541
35;3.5;22.2;321;331;36;18.0;22.15;79.74;1.785;1.835;86.8398911309909;11.897810798545358
36;3.6;22.0;319;329;38;19.0;32.1;115.56;1.785;1.835;88.02289227646077;11.75583455245313
37;3.7;22.0;313;323;39;19.5;27.0;97.2;1.76;1.81;89.18983350809363;11.577119583912456
38;3.8;22.2;316;326;40;20.0;27.1;97.56;1.78;1.83;90.3371917118718;11.364667453416885
39;3.9;22.0;318;328;38;19.0;12.1;43.56;1.78;1.83;91.4617398486116;11.121398097149708
40;4.0;22.1;310;320;40;20.0;32.05;115.38;1.75;1.8;92.56053879153212;10.85014982698403
41;4.1;22.2;306;316;42;21.0;32.15;115.74;1.74;1.79;93.6309291638242;10.553679330482737
42;4.2;22.2;318;328;41;20.5;17.2;61.92;1.795;1.845;94.67052317621956;10.234661670898475
43;4.3;22.0;305;315;43;21.5;32.1;115.56;1.74;1.79;95.67719646455961;9.8956902871737
44;4.4;22.1;302;312;45;22.5;32.05;115.38;1.735;1.785;96.6490799273644;9.539276993940625
45;4.5;22.1;299;308;46;23.0;27.1;97.56;1.725;1.77;97.58455156340185;9.167851981521295
46;4.6;22.2;303;313;45;22.5;17.15;61.74;1.74;1.79;98.48222830925651;8.783763815927507
47;4.7;22.0;303;313;47;23.5;32.1;115.56;1.75;1.8;99.34095787689857;8.389279438860768
48;4.8;22.1;299;308;50;25.0;37.05;133.38;1.745;1.79;100.15981059125296;7.986584167712508
49;4.9;22.2;297;306;51;25.5;27.15;97.74;1.74;1.785;100.93807122776805;7.577781695563878
50;5.0;22.2;299;308;50;25.0;17.2;61.92;1.745;1.79;101.67523084998506;7.164894091185751
51;5.1;22.0;296;305;52;26.0;32.1;115.56;1.74;1.785;102.37097864710661;6.7498617990388965
52;5.2;22.2;326;301;54;27.0;32.1;115.56;1.9;1.775;103.02519377156597;6.334543639273775
53;5.3;22.0;287;296;56;28.0;32.1;115.56;1.715;1.76;103.63793717659573;5.920716807730706
54;5.4;22.0;288;297;56;28.0;22.0;79.2;1.72;1.765;104.20944345379752;5.510076875939703
55;5.5;22.2;284;293;57;28.5;27.1;97.56;1.705;1.75;104.74011267070979;5.104237791120646
56;5.6;22.1;275;284;60;30.0;37.15;133.74;1.675;1.72;105.230502208378;4.704731876183182
57;5.7;22.1;277;286;61;30.5;27.1;97.56;1.69;1.735;105.68131859892279;4.313009829726667
58;5.8;22.2;273;282;62;31.0;27.15;97.74;1.675;1.72;106.09340936310932;3.930440726040331
59;5.9;22.2;270;279;64;32.0;32.2;115.92;1.67;1.715;106.4677548479162;3.5583120151031693
60;6.0;22.1;261;269;66;33.0;32.15;115.74;1.635;1.675;106.80546006410421;3.197829522583916
61;6.1;22.0;270;278;66;33.0;22.05;79.38;1.68;1.72;107.1077465237858;2.8501174498411004
62;6.2;22.1;262;270;69;34.5;37.05;133.38;1.655;1.695;107.37594407799362;2.516218373923124
63;6.3;22.1;257;265;69;34.5;22.1;79.56;1.63;1.67;107.61148275424961;2.19709324756807
64;6.4;22.1;250;258;71;35.5;32.1;115.56;1.605;1.645;107.81588459413395;1.8936213992038304
65;6.5;22.1;247;255;73;36.5;32.1;115.56;1.6;1.64;107.99075549085427;1.6066005329480717
66;6.6;22.0;252;260;73;36.5;22.05;79.38;1.625;1.665;108.1377770268144;1.3367467286082046
67;6.7;22.0;247;255;76;38.0;37.0;133.2;1.615;1.655;108.25869831118342;1.08469444168162
68;6.8;22.1;273;251;78;39.0;32.05;115.38;1.755;1.645;108.35532781746447;0.8509965033552618
69;6.9;22.1;236;243;80;40.0;32.1;115.56;1.58;1.615;108.42952522106403;0.6361241205058974
70;7.0;22.2;233;240;81;40.5;27.15;97.74;1.57;1.605;108.48319323686079;0.440466875700281
71;7.1;22.0;233;240;82;41.0;27.1;97.56;1.575;1.61;108.51826945677439;0.2643327271945779
72;7.2;22.0;231;238;83;41.5;27.0;97.2;1.57;1.605;108.53671818733486;0.10794800893518897
73;7.3;22.0;222;229;86;43.0;37.0;133.2;1.54;1.575;108.54052228725119;-0.028542569442130628
74;7.4;22.1;225;232;88;44.0;32.05;115.38;1.565;1.6;108.53167500498034;-0.14507592261154656
75;7.5;22.2;215;222;89;44.5;27.15;97.74;1.52;1.555;108.51217181629661;-0.24167058955759302
76;7.6;22.1;218;225;92;46.0;37.15;133.74;1.55;1.585;108.48400226186018;-0.31842673357497375
77;7.7;22.2;217;224;91;45.5;17.15;61.74;1.54;1.575;108.44914178478616;-0.37552614226853365
78;7.8;22.2;209;215;93;46.5;32.2;115.92;1.51;1.54;108.40954356821375;-0.4132322275534932
79;7.9;22.0;210;216;94;47.0;27.1;97.56;1.52;1.55;108.36713037287525;-0.43189002565522117
80;8.0;22.1;231;207;98;49.0;42.05;151.38;1.645;1.525;108.32378637466466;-0.43192619710914215
81;8.1;22.1;206;212;98;49.0;22.1;79.56;1.52;1.55;108.28134900220721;-0.41384902676112745
82;8.2;22.0;199;205;101;50.5;37.05;133.38;1.5;1.53;108.24160077442761;-0.3782484237671966
83;8.3;22.1;194;200;102;51.0;27.05;97.38;1.48;1.51;108.20626113812007;-0.3257959215935955
84;8.4;22.0;195;201;102;51.0;22.05;79.38;1.485;1.515;108.17697830551609;-0.2572446780166189
85;8.5;22.2;190;196;104;52.0;32.1;115.56;1.47;1.5;108.15532109185426;-0.17342947512305784
86;8.6;22.1;182;188;107;53.5;37.15;133.74;1.445;1.475;108.142770752949;-0.07526671930974516
87;8.7;22.0;185;191;107;53.5;22.05;79.38;1.46;1.49;108.14071282275978;0.03624555871627422
88;8.8;22.1;177;182;110;55.0;37.05;133.38;1.435;1.46;108.15042895095914;0.16002770393760812
89;8.9;22.1;183;189;110;55.0;22.1;79.56;1.465;1.495;108.17308874050325;0.29491843702682274
90;9.0;22.2;176;181;113;56.5;37.15;133.74;1.445;1.47;108.20974158519923;0.43967485434622944
91;9.1;22.1;168;173;114;57.0;27.15;97.74;1.41;1.435;108.26130850727552;0.5929724279477853
92;9.2;22.2;175;180;114;57.0;22.15;79.74;1.445;1.47;108.32857399494989;0.7534050055733559
93;9.3;22.0;161;166;117;58.5;37.1;133.56;1.39;1.415;108.41217783999895;0.9194848106545379
94;9.4;22.1;163;168;120;60.0;37.05;133.38;1.415;1.44;108.512606975327;1.0896424423127442
95;9.5;22.1;159;164;122;61.0;32.1;115.56;1.405;1.43;108.63018731253482;1.262226875359218
96;9.6;22.2;151;156;122;61.0;22.15;79.74;1.365;1.39;108.7650755794892;1.435505460294884
97;9.7;22.1;152;157;125;62.5;37.15;133.74;1.385;1.41;108.91725115789039;1.6076639233104686
98;9.8;22.2;152;157;126;63.0;27.15;97.74;1.39;1.415;109.08650792084332;1.776806366286479
99;9.9;22.0;144;148;127;63.5;27.1;97.56;1.355;1.375;109.27244607042554;1.940955266793317
100;10.0;22.1;140;144;129;64.5;32.05;115.38;1.345;1.365;109.4744639752553;2.0980514780910724
101;10.1;22.1;140;144;130;65.0;27.1;97.56;1.35;1.37;109.69175000806221;2.2459542291295875
102;10.2;22.1;157;135;133;66.5;37.1;133.56;1.45;1.34;109.9232743832543;2.3824411245485777
103;10.3;22.1;130;134;134;67.0;27.1;97.56;1.32;1.34;110.16778099448905;2.5052081446772476
